Fecha de solicitud;Provincia;Prediccion_Numero_Ampliaciones_RF
2024-12-08;CASTELLON;2
2024-12-08;AVILA;1
2024-12-08;ALICANTE;3
2024-12-08;BIZKAIA;1
2024-12-08;GIPUZKOA;2
2024-12-08;ASTURIAS;2
2024-12-08;MURCIA;2
2024-12-08;LEON;1
2024-12-15;TOLEDO;4
2024-12-15;CIUDAD REAL;3
2024-12-15;MADRID;4
2024-12-15;CUENCA;2
2024-12-15;VALLADOLID;1
2024-12-15;SALAMANCA;1
2024-12-15;ALBACETE;1
2024-12-15;GUADALAJARA;1
2024-12-15;PALENCIA;1
2024-12-15;VALENCIA;2
2024-12-15;CASTELLON;2
2024-12-15;AVILA;1
2024-12-15;ALICANTE;3
2024-12-15;BIZKAIA;1
2024-12-15;GIPUZKOA;2
2024-12-15;ASTURIAS;2
2024-12-15;MURCIA;2
2024-12-15;LEON;1
2024-12-22;TOLEDO;4
2024-12-22;CIUDAD REAL;3
2024-12-22;MADRID;4
2024-12-22;CUENCA;2
2024-12-22;VALLADOLID;2
2024-12-22;SALAMANCA;2
2024-12-22;ALBACETE;1
2024-12-22;GUADALAJARA;1
2024-12-22;PALENCIA;1
2024-12-22;VALENCIA;2
2024-12-22;CASTELLON;2
2024-12-22;AVILA;1
2024-12-22;ALICANTE;3
2024-12-22;BIZKAIA;1
2024-12-22;GIPUZKOA;2
2024-12-22;ASTURIAS;2
2024-12-22;MURCIA;2
2024-12-22;LEON;1
2024-12-29;TOLEDO;4
2024-12-29;CIUDAD REAL;3
2024-12-29;MADRID;4
2024-12-29;CUENCA;2
2024-12-29;VALLADOLID;2
2024-12-29;SALAMANCA;1
2024-12-29;ALBACETE;1
2024-12-29;GUADALAJARA;1
2024-12-29;PALENCIA;2
2024-12-29;VALENCIA;2
2024-12-29;CASTELLON;2
2024-12-29;AVILA;1
2024-12-29;ALICANTE;3
2024-12-29;BIZKAIA;1
2024-12-29;GIPUZKOA;2
2024-12-29;ASTURIAS;2
2024-12-29;MURCIA;2
2024-12-29;LEON;1
2025-01-05;TOLEDO;6
2025-01-05;CIUDAD REAL;2
2025-01-05;MADRID;6
2025-01-05;CUENCA;2
2025-01-05;VALLADOLID;2
2025-01-05;SALAMANCA;2
2025-01-05;ALBACETE;2
2025-01-05;GUADALAJARA;1
2025-01-05;PALENCIA;2
2025-01-05;VALENCIA;2
2025-01-05;CASTELLON;3
2025-01-05;AVILA;2
2025-01-05;ALICANTE;3
2025-01-05;BIZKAIA;2
2025-01-05;GIPUZKOA;2
2025-01-05;ASTURIAS;3
2025-01-05;MURCIA;2
2025-01-05;LEON;2
2025-01-12;TOLEDO;6
2025-01-12;CIUDAD REAL;2
2025-01-12;MADRID;6
2025-01-12;CUENCA;2
2025-01-12;VALLADOLID;2
2025-01-12;SALAMANCA;2
2025-01-12;ALBACETE;1
2025-01-12;GUADALAJARA;1
2025-01-12;PALENCIA;2
2025-01-12;VALENCIA;2
2025-01-12;CASTELLON;2
2025-01-12;AVILA;1
2025-01-12;ALICANTE;3
2025-01-12;BIZKAIA;2
2025-01-12;GIPUZKOA;2
2025-01-12;ASTURIAS;2
2025-01-12;MURCIA;2
2025-01-12;LEON;1
2025-01-19;TOLEDO;6
2025-01-19;CIUDAD REAL;2
2025-01-19;MADRID;6
2025-01-19;CUENCA;2
2025-01-19;VALLADOLID;2
2025-01-19;SALAMANCA;2
2025-01-19;ALBACETE;1
2025-01-19;GUADALAJARA;1
2025-01-19;PALENCIA;2
2025-01-19;VALENCIA;2
2025-01-19;CASTELLON;2
2025-01-19;AVILA;1
2025-01-19;ALICANTE;3
2025-01-19;BIZKAIA;1
2025-01-19;GIPUZKOA;2
2025-01-19;ASTURIAS;2
2025-01-19;MURCIA;2
2025-01-19;LEON;1
2025-01-26;TOLEDO;6
2025-01-26;CIUDAD REAL;2
2025-01-26;MADRID;6
2025-01-26;CUENCA;2
2025-01-26;VALLADOLID;2
2025-01-26;SALAMANCA;1
2025-01-26;ALBACETE;1
2025-01-26;GUADALAJARA;1
2025-01-26;PALENCIA;2
2025-01-26;VALENCIA;2
2025-01-26;CASTELLON;2
2025-01-26;AVILA;1
2025-01-26;ALICANTE;3
2025-01-26;BIZKAIA;1
2025-01-26;GIPUZKOA;2
2025-01-26;ASTURIAS;2
2025-01-26;MURCIA;2
2025-01-26;LEON;1
2025-02-02;TOLEDO;6
2025-02-02;CIUDAD REAL;2
2025-02-02;MADRID;6
2025-02-02;CUENCA;2
2025-02-02;VALLADOLID;1
2025-02-02;SALAMANCA;2
2025-02-02;ALBACETE;1
2025-02-02;GUADALAJARA;1
2025-02-02;PALENCIA;1
2025-02-02;VALENCIA;2
2025-02-02;CASTELLON;2
2025-02-02;AVILA;2
2025-02-02;ALICANTE;3
2025-02-02;BIZKAIA;2
2025-02-02;GIPUZKOA;2
2025-02-02;ASTURIAS;2
2025-02-02;MURCIA;2
2025-02-02;LEON;1
2025-02-09;TOLEDO;6
2025-02-09;CIUDAD REAL;2
2025-02-09;MADRID;6
2025-02-09;CUENCA;2
2025-02-09;VALLADOLID;2
2025-02-09;SALAMANCA;2
2025-02-09;ALBACETE;1
2025-02-09;GUADALAJARA;1
2025-02-09;PALENCIA;2
2025-02-09;VALENCIA;2
2025-02-09;CASTELLON;3
2025-02-09;AVILA;1
2025-02-09;ALICANTE;4
2025-02-09;BIZKAIA;2
2025-02-09;GIPUZKOA;2
2025-02-09;ASTURIAS;2
2025-02-09;MURCIA;2
2025-02-09;LEON;1
2025-02-16;TOLEDO;5
2025-02-16;CIUDAD REAL;2
2025-02-16;MADRID;5
2025-02-16;CUENCA;2
2025-02-16;VALLADOLID;1
2025-02-16;SALAMANCA;2
2025-02-16;ALBACETE;1
2025-02-16;GUADALAJARA;1
2025-02-16;PALENCIA;1
2025-02-16;VALENCIA;2
2025-02-16;CASTELLON;2
2025-02-16;AVILA;1
2025-02-16;ALICANTE;4
2025-02-16;BIZKAIA;1
2025-02-16;GIPUZKOA;2
2025-02-16;ASTURIAS;2
2025-02-16;MURCIA;2
2025-02-16;LEON;1
2025-02-23;TOLEDO;5
2025-02-23;CIUDAD REAL;2
2025-02-23;MADRID;5
2025-02-23;CUENCA;2
2025-02-23;VALLADOLID;1
2025-02-23;SALAMANCA;1
2025-02-23;ALBACETE;1
2025-02-23;GUADALAJARA;1
2025-02-23;PALENCIA;1
2025-02-23;VALENCIA;2
2025-02-23;CASTELLON;2
2025-02-23;AVILA;1
2025-02-23;ALICANTE;4
2025-02-23;BIZKAIA;1
2025-02-23;GIPUZKOA;2
2025-02-23;ASTURIAS;2
2025-02-23;MURCIA;2
2025-02-23;LEON;1
2025-03-02;TOLEDO;5
2025-03-02;CIUDAD REAL;2
2025-03-02;MADRID;5
2025-03-02;CUENCA;2
2025-03-02;VALLADOLID;1
2025-03-02;SALAMANCA;1
2025-03-02;ALBACETE;1
2025-03-02;GUADALAJARA;1
2025-03-02;PALENCIA;1
2025-03-02;VALENCIA;2
2025-03-02;CASTELLON;2
2025-03-02;AVILA;1
2025-03-02;ALICANTE;4
2025-03-02;BIZKAIA;1
2025-03-02;GIPUZKOA;2
2025-03-02;ASTURIAS;2
2025-03-02;MURCIA;2
2025-03-02;LEON;1
2025-03-09;TOLEDO;5
2025-03-09;CIUDAD REAL;2
2025-03-09;MADRID;5
2025-03-09;CUENCA;2
2025-03-09;VALLADOLID;1
2025-03-09;SALAMANCA;1
2025-03-09;ALBACETE;1
2025-03-09;GUADALAJARA;1
2025-03-09;PALENCIA;1
2025-03-09;VALENCIA;2
2025-03-09;CASTELLON;2
2025-03-09;AVILA;1
2025-03-09;ALICANTE;3
2025-03-09;BIZKAIA;1
2025-03-09;GIPUZKOA;2
2025-03-09;ASTURIAS;2
2025-03-09;MURCIA;2
2025-03-09;LEON;1
2025-03-16;TOLEDO;5
2025-03-16;CIUDAD REAL;2
2025-03-16;MADRID;5
2025-03-16;CUENCA;2
2025-03-16;VALLADOLID;1
2025-03-16;SALAMANCA;1
2025-03-16;ALBACETE;1
2025-03-16;GUADALAJARA;1
2025-03-16;PALENCIA;1
2025-03-16;VALENCIA;2
2025-03-16;CASTELLON;2
2025-03-16;AVILA;1
2025-03-16;ALICANTE;3
2025-03-16;BIZKAIA;1
2025-03-16;GIPUZKOA;2
2025-03-16;ASTURIAS;2
2025-03-16;MURCIA;2
2025-03-16;LEON;1
2025-03-23;TOLEDO;4
2025-03-23;CIUDAD REAL;2
2025-03-23;MADRID;5
2025-03-23;CUENCA;2
2025-03-23;VALLADOLID;1
2025-03-23;SALAMANCA;1
2025-03-23;ALBACETE;1
2025-03-23;GUADALAJARA;1
2025-03-23;PALENCIA;1
2025-03-23;VALENCIA;2
2025-03-23;CASTELLON;2
2025-03-23;AVILA;1
2025-03-23;ALICANTE;3
2025-03-23;BIZKAIA;1
2025-03-23;GIPUZKOA;2
2025-03-23;ASTURIAS;2
2025-03-23;MURCIA;2
2025-03-23;LEON;1
2025-03-30;TOLEDO;5
2025-03-30;CIUDAD REAL;2
2025-03-30;MADRID;5
2025-03-30;CUENCA;2
2025-03-30;VALLADOLID;1
2025-03-30;SALAMANCA;1
2025-03-30;ALBACETE;1
2025-03-30;GUADALAJARA;1
2025-03-30;PALENCIA;1
2025-03-30;VALENCIA;2
2025-03-30;CASTELLON;2
2025-03-30;AVILA;1
2025-03-30;ALICANTE;3
2025-03-30;BIZKAIA;1
2025-03-30;GIPUZKOA;2
2025-03-30;ASTURIAS;2
2025-03-30;MURCIA;2
2025-03-30;LEON;1
2025-04-06;TOLEDO;5
2025-04-06;CIUDAD REAL;2
2025-04-06;MADRID;5
2025-04-06;CUENCA;2
2025-04-06;VALLADOLID;1
2025-04-06;SALAMANCA;1
2025-04-06;ALBACETE;1
2025-04-06;GUADALAJARA;1
2025-04-06;PALENCIA;1
2025-04-06;VALENCIA;2
2025-04-06;CASTELLON;2
2025-04-06;AVILA;1
2025-04-06;ALICANTE;3
2025-04-06;BIZKAIA;1
2025-04-06;GIPUZKOA;2
2025-04-06;ASTURIAS;2
2025-04-06;MURCIA;2
2025-04-06;LEON;1
2025-04-13;TOLEDO;5
2025-04-13;CIUDAD REAL;2
2025-04-13;MADRID;5
2025-04-13;CUENCA;2
2025-04-13;VALLADOLID;1
2025-04-13;SALAMANCA;1
2025-04-13;ALBACETE;1
2025-04-13;GUADALAJARA;1
2025-04-13;PALENCIA;1
2025-04-13;VALENCIA;2
2025-04-13;CASTELLON;2
2025-04-13;AVILA;1
2025-04-13;ALICANTE;3
2025-04-13;BIZKAIA;1
2025-04-13;GIPUZKOA;2
2025-04-13;ASTURIAS;2
2025-04-13;MURCIA;2
2025-04-13;LEON;1
2025-04-20;TOLEDO;5
2025-04-20;CIUDAD REAL;2
2025-04-20;MADRID;5
2025-04-20;CUENCA;2
2025-04-20;VALLADOLID;1
2025-04-20;SALAMANCA;1
2025-04-20;ALBACETE;1
